Rk,Player,Age
152,Blake Coleman\colembl01,26
153,Blake Comeau\comeabl01,31
154,J.T. Compher\comphj.01,22
155,Cory Conacher\conacco01,28
156,Kevin Connauton\connake01,27
157,Brett Connolly\connobr01,25
158,Kyle Connor\connoky01,21
159,Andrew Copp\coppan01,23
160,Frank Corrado\corrafr01,24
161,Nick Cousins\cousini01,24
162,Logan Couture\coutulo01,28
163,Sean Couturier\coutuse01,25
164,Charlie Coyle\coylech01,25
165,Adam Cracknell\crackad01,32
165,Adam Cracknell\crackad01,32
165,Adam Cracknell\crackad01,32
166,Andrew Crescenzi\crescan01,25
167,Kyle Criscuolo\criscky01,25
168,Sidney Crosby\crosbsi01,30
169,Lawson Crouse\crousla01,20
170,Matt Cullen\cullema01,41
171,Austin Czarnik\czarnau01,25
172,Evgeni Dadonov\dadonev01,28
173,Klas Dahlbeck\dahlbkl01,26
174,Carl Dahlstrom\dahlsca01,23
175,Michael Dal Colle\dalcomi01,21
176,Trevor Daley\daleytr01,34
177,Zac Dalpe\dalpeza01,28
178,Phillip Danault\danauph01,24
179,Marko Dano\danoma01,23
180,Laurent Dauphin\dauphla01,22
181,Brandon Davidson\davidbr01,26
181,Brandon Davidson\davidbr01,26
181,Brandon Davidson\davidbr01,26
181,Brandon Davidson\davidbr01,26
182,Calvin de Haan\dehaaca01,26
183,Jacob de La Rose\delarja01,22
184,Jean-Sebastien Dea\deaje01,23
185,Anthony DeAngelo\deangan01,22
186,Alex DeBrincat\debrial01,20
187,Jake Debrusk\debruja01,21
188,Danny DeKeyser\dekeyda01,27
189,Michael Del Zotto\delzomi01,27
190,Dylan DeMelo\demeldy01,24
191,Jason Demers\demerja01,29
192,Travis Dermott\dermotr01,21
193,David Desharnais\deshada01,31
194,Nicolas Deslauriers\deslani01,26
195,Phillip Di Giuseppe\digiuph01,24
196,Jason Dickinson\dickija01,22
197,Christopher Didomenico\didomch01,28
198,Brenden Dillon\dillobr01,27
199,Christian Djoos\djoosch01,23
200,Max Domi\domima01,22
201,Ryan Donato\donatry01,21
202,Joonas Donskoi\donskjo01,25
203,Derek Dorsett\dorsede01,31
204,Jake Dotchin\dotchja01,23
205,Drew Doughty\doughdr01,28
206,Nic Dowd\dowdni01,27
206,Nic Dowd\dowdni01,27
206,Nic Dowd\dowdni01,27
207,Leon Draisaitl\draisle01,22
208,Jonathan Drouin\drouijo01,22
209,Brandon Dubinsky\dubinbr01,31
210,Pierre-Luc Dubois\duboipi01,19
211,Matt Duchene\duchema01,27
211,Matt Duchene\duchema01,27
211,Matt Duchene\duchema01,27
212,Anthony Duclair\duclaan01,22
212,Anthony Duclair\duclaan01,22
212,Anthony Duclair\duclaan01,22
213,Mathew Dumba\dumbama01,23
214,Gabriel Dumont\dumonga01,27
214,Gabriel Dumont\dumonga01,27
214,Gabriel Dumont\dumonga01,27
215,Brian Dumoulin\dumoubr01,26
216,Vince Dunn\dunnvi02,21
217,Christian Dvorak\dvorach01,21
218,Ryan Dzingel\dzingry01,25
219,Cody Eakin\eakinco01,26
220,Patrick Eaves\eavespa01,33
221,Jordan Eberle\eberljo01,27
222,Alexander Edler\edleral01,31
223,Joel Edmundson\edmunjo01,24
224,Nikolaj Ehlers\ehlerni01,21
225,Jack Eichel\eicheja01,21
226,Victor Ejdsell\ejdsevi01,22
227,Aaron Ekblad\ekblaaa01,21
228,Mattias Ekholm\ekholma01,27
229,Oliver Ekman-Larsson\ekmanol01,26
230,Remi Elie\eliere01,22
231,Lars Eller\ellerla01,28
232,Ryan Ellis\ellisry01,27
233,Alexei Emelin\emelial01,31
234,Deryk Engelland\engelde01,35
235,Andreas Englund\engluan01,22
236,Tyler Ennis\ennisty01,28
237,Toby Enstrom\enstrto01,33
238,Jonathan Ericsson\ericsjo01,33
239,Loui Eriksson\erikslo01,32
240,Joel Eriksson Ek\eriksjo02,21
241,Adam Erne\ernead01,22
242,Radek Faksa\faksara01,24
243,Justin Falk\falkju01,29
244,Oscar Fantenberg\fanteos01,26
245,Hudson Fasching\faschhu01,22
246,Jesper Fast\fastje01,26
247,Justin Faulk\faulkju01,25
248,Taylor Fedun\fedunta01,29
249,Eric Fehr\fehrer01,32
249,Eric Fehr\fehrer01,32
249,Eric Fehr\fehrer01,32
250,Micheal Ferland\ferlami01,25
251,Landon Ferraro\ferrala01,26
252,Kevin Fiala\fialake01,21
253,Valtteri Filppula\filppva01,33
254,Giovanni Fiore\fioregi01,21
255,Christian Fischer\fischch01,20
256,Mike Fisher\fishemi01,37
257,Haydn Fleury\fleurha01,21
258,Warren Foegele\foegewa01,21
259,Steven Fogarty\fogarst01,24
260,Marcus Foligno\foligma01,26
261,Nick Foligno\foligni01,30
262,Christian Folin\folinch01,26
263,Spencer Foo\foosp01,23
264,Derek Forbort\forbode01,25
265,Alex Formenton\formeal01,18
266,Filip Forsberg\forsbfi01,23
267,Gustav Forsling\forslgu02,21
268,Cam Fowler\fowleca01,26
269,Cody Franson\fransco01,30
270,Tanner Fritz\fritzta01,26
271,Martin Frk\frkma01,24
272,Byron Froese\froesby01,26
273,Michael Frolik\frolimi01,29
274,Marian Gaborik\gaborma01,35
274,Marian Gaborik\gaborma01,35
274,Marian Gaborik\gaborma01,35
275,Sam Gagner\gagnesa01,28
276,Alex Galchenyuk\galchal01,23
277,Brendan Gallagher\gallabr01,25
278,Dylan Gambrell\gambrdy01,21
279,Jake Gardiner\gardija01,27
280,Jason Garrison\garrija01,33
281,Adam Gaudette\gaudead01,21
282,Frederick Gaudreau\gaudrfr01,24
283,Johnny Gaudreau\gaudrjo01,24
284,Brendan Gaunce\gauncbr01,23
285,Frederik Gauthier\gauthfr01,22
286,Nathan Gerbe\gerbena01,30
287,Shane Gersich\gersish01,21
288,Ryan Getzlaf\getzlry01,32
289,Brian Gibbons\gibbobr02,29
290,John Gilmour\gilmojo01,24
291,Brian Gionta\giontbr01,39
292,Mark Giordano\giordma01,34
293,Samuel Girard\girarsa01,19
293,Samuel Girard\girarsa01,19
293,Samuel Girard\girarsa01,19
294,Dan Girardi\girarda01,33
295,Zemgus Girgensons\girgeze01,24
296,Claude Giroux\giroucl01,30
297,Tanner Glass\glassta01,34
298,Luke Glendening\glendlu01,28
299,Nikolay Goldobin\goldoni01,22
300,Alex Goligoski\goligal01,32
301,Barclay Goodrow\goodrba01,24
302,Josh Gorges\gorgejo01,33
303,Shayne Gostisbehere\gostish01,24
304,Tyrell Goulbourne\goulbty01,24
305,Yanni Gourde\gourdya01,26
306,Michael Grabner\grabnmi01,30
306,Michael Grabner\grabnmi01,30
306,Michael Grabner\grabnmi01,30
307,Markus Granlund\granlma01,24
308,Mikael Granlund\granlmi01,25
309,Derek Grant\grantde01,27
310,Tyler Graovac\graovty01,24
311,Kevin Gravel\graveke01,25
312,Mike Green\greenmi03,32
313,Andy Greene\greenan01,35
314,Jordan Greenway\greenjo02,20
315,A.J. Greer\greeraj01,21
316,Seth Griffith\griffse01,25
317,Rocco Grimaldi\grimaro01,24
318,Eric Gryba\grybaer01,29
319,Matt Grzelcyk\grzelma01,24
320,Radko Gudas\gudasra01,27
321,Erik Gudbranson\gudbrer01,26
322,Jake Guentzel\guentja01,23
323,Brendan Guhle\guhlebr01,20
324,Carl Gunnarsson\gunnaca01,31
325,Erik Gustafsson\gustaer02,25
326,Henrik Haapala\haapahe01,23
327,Carl Hagelin\hagelca01,29
328,Robert Hagg\haggro01,22
329,Ron Hainsey\hainsro01,36
330,Micheal Haley\haleymi01,31
331,Taylor Hall\hallta02,26
332,Dan Hamhuis\hamhuda01,35
333,Dougie Hamilton\hamildo01,24
334,Freddie Hamilton\hamilfr01,26
334,Freddie Hamilton\hamilfr01,26
334,Freddie Hamilton\hamilfr01,26
335,Travis Hamonic\hamontr01,27
336,Noah Hanifin\hanifno01,21
337,Joel Hanley\hanlejo01,26
338,Markus Hannikainen\hannima01,24
339,Jannik Hansen\hanseja01,31
340,Martin Hanzal\hanzama01,30
341,Ben Harpur\harpube01,23
342,Scott Harrington\harrisc01,24
343,Ryan Hartman\hartmry01,23
343,Ryan Hartman\hartmry01,23
343,Ryan Hartman\hartmry01,23
344,Scott Hartnell\hartnsc01,35
345,Garnet Hathaway\hathaga01,26
346,Erik Haula\haulaer01,26
347,John Hayden\haydejo01,22
